"concept_id","entity_type","entity_confidence_score_threshold","entity_relevance_score_threshold","topic_score_threshold"
1,"TopicalConcept",1,0.2,0.2
1,"TelevisionShow",1,0.2,0.2
1,"TelevisionEpisode",1,0.2,0.2
1,"Fashion",1,0.2,0.2
1,"Album",1,0.2,0.2
1,"FashionDesigner",1,0.2,0.2
12,"AmericanFootballLeague",1,0.2,0.2
12,"AmericanFootballTeam",1,0.2,0.2
12,"AutoRacingLeague",1,0.2,0.2
12,"BaseballLeague",1,0.2,0.2
12,"BaseballTeam",1,0.2,0.2
12,"BasketballLeague",1,0.2,0.2
12,"BasketballTeam",1,0.2,0.2
12,"CricketTeam",1,0.2,0.2
12,"CollegeCoach",1,0.2,0.2
12,"CyclingTeam",1,0.2,0.2
12,"FormulaOneTeam",1,0.2,0.2
12,"GolfLeague",1,0.2,0.2
12,"HockeyTeam",1,0.2,0.2
12,"IceHockeyLeague",1,0.2,0.2
12,"Racecourse",1,0.2,0.2
12,"RugbyLeague",1,0.2,0.2
12,"SoccerClub",1,0.2,0.2
12,"SoccerLeague",1,0.2,0.2
12,"SoccerManager",1,0.2,0.2
12,"SoccerPlayer",1,0.2,0.2
12,"SoccerTournament",1,0.2,0.2
12,"SportsEvent",1,0.2,0.2
12,"SportsLeague",1,0.2,0.2
12,"SportsManager",1,0.2,0.2
12,"SportsTeam",1,0.2,0.2
12,"Stadium",1,0.2,0.2
12,"TennisLeague",1,0.2,0.2
12,"Tournament",1,0.2,0.2
12,"VideogamesLeague",1,0.2,0.2
12,"AmericanFootballPlayer",1.0,0.2,0.2
12,"BaseballPlayer",1.0,0.2,0.2
12,"BasketballPlayer",1.0,0.2,0.2
12,"GolfPlayer",1.0,0.2,0.2
12,"GridironFootballPlayer",1.0,0.2,0.2
12,"IceHockeyPlayer",1.0,0.2,0.2
12,"RugbyPlayer",1.0,0.2,0.2
12,"TennisPlayer",1.0,0.2,0.2
12,"Wrestler",1.0,0.2,0.2
12,"Athlete",1.0,0.2,0.2
12,"Cricketer",1.0,0.2,0.2
12,"Curler",1.0,0.2,0.2
12,"CyclingRace",1.0,0.2,0.2
12,"FormulaOneRacer",1.0,0.2,0.2
12,"GrandPrix",1.0,0.2,0.2
12,"Gymnast",1.0,0.2,0.2
12,"HorseRace",1.0,0.2,0.2
12,"NascarDriver",1.0,0.2,0.2
12,"Olympics",1.0,0.2,0.2
12,"SkiArea",1.0,0.2,0.2
12,"Swimmer",1.0,0.2,0.2
4,"Venue",1,0.2,0.2
4,"Theatre",1,0.2,0.2
4,"Event",1,0.2,0.2
4,"SocietalEvent",1,0.2,0.2
4,"Convention",1,0.2,0.2
4,"FilmFestival",1,0.2,0.2
4,"Festival",1,0.2,0.2
3,"University",1,0.2,0.2
3,"EducationalInstitution",1,0.2,0.2
3,"AcademicJournal",1,0.2,0.2
3,"AcademicConference",1,0.2,0.2
3,"School",1,0.2,0.2
8,"MilitaryPerson",1,0.2,0.2
8,"MilitaryStructure",1,0.2,0.2
8,"MilitaryUnit",1,0.2,0.2
11,"Astronaut",1,0.2,0.2
11,"Rocket",1,0.2,0.2
11,"SpaceMission",1,0.2,0.2
11,"SpaceStation",1,0.2,0.2
11,"Satellite",1,0.2,0.2
9,Bacteria,1,0.2,0.2
9,"BiologicalDatabase",1,0.2,0.2
9,"Biomolecule",1,0.2,0.2
9,"Hospital",1,0.2,0.2
9,"Scientist",1,0.2,0.2
5,"Beverage",1,0.2,0.2
5,"Brewery",1,0.2,0.2
5,"Cheese",1,0.2,0.2
5,"Chef",1,0.2,0.2
5,"Food",1,0.2,0.2
5,"Restaurant",1,0.2,0.2
6,"Ambassador",1,0.2,0.2
6,"Congressman",1,0.2,0.2
6,"Governor",1,0.2,0.2
6,"GovernmentAgency",1,0.2,0.2
6,"Legislature",1,0.2,0.2
6,"Mayor",1,0.2,0.2
6,"PoliticalParty",1,0.2,0.2
6,"Politician",1,0.2,0.2
6,"President",1,0.2,0.2
6,"Senator",1,0.2,0.2
13,"Airline",1,0.2,0.2
13,"Aircraft",1,0.2,0.2
13,"Airport",1,0.2,0.2
13,"AutoRacingLeague",1,0.2,0.2
13,"Automobile",1,0.2,0.2
13,"BusCompany",1,0.2,0.2
13,"MeanOfTransportation",1,0.2,0.2
13,"PublicTransitSystem",1,0.2,0.2
13,"Rocket",1,0.2,0.2
13,"Ship",1,0.2,0.2
7,"LawFirm",1,0.2,0.2
7,"LegalCase",1,0.2,0.2
7,"Judge",1,0.2,0.2
2,"Economist",1,0.2,0.2
2,"Currency",1,0.2,0.2
2,"Money",1,0.2,0.2
10,"ProgrammingLanguage",1,0.2,0.2
10,Software,1,0.2,0.2
